quests_title,quests_description,quests_objective
Jailhouse Thug,"While your primary objective at the solitary confinement zone is to ensure the safe release of the Republic traitors, if you are feeling especially bold, you can take on Kal Bedo and his lieutenants directly while you are on site.
Find and defeat Kal Bedo and his Kaleesh lieutenants.",Defeat Kaleesh Lieutenants
Juxtaposition,Darth Tormen has dispatched you to the remote Republic world of Belsavis to remove a threat to his plans for Corellia. He has ordered his subordinates on the planet to assist you in any way possible.,Enter Power Plant Access Tunnels
Keepers of Secrets,Defeat the Republic forces at Republic Guardpost Alpha in the Minimum Security Section.,Defeat the Republic Forces
Locate the Enemy,You have learned that Lord Melicoste has broken into the Republic prison’s records in order to learn where Darth Ekkage and her assassins are being held.,Find the Records Room
Lurker Control,"Without the prison’s normal security measures keeping the wildlife under control, Belsavis’s rift lurkers are running amok. Defeat the rift lurkers in the Maximum Security Section.",Defeat the Rift Lurkers
Mando Negotiations,Defeat the Mandalorian forces in the Minimum Security Section.,Defeat Mandalorian Forces
Maximum Security,"Assistant Warden Graal thanked you for your help in restoring order in the Minimum Security Section. However, he informed you that a Colonel Hauer had been requesting assistance in the High Security Section.
Speak to Colonel Hauer at the Republic watchtower in the High Security Section.",Speak to Colonel Hauer
Metal Militia,Lord Medechas of Special Operations Group Five has informed you that the Republic lawman Marshal Ruger is attempting to quell the riots that they have incited within the prison using heavily armed warden droids.,Destroy Warden Droids
Most Wanted,"Rogun the Butcher’s former partner and mentor–a man known only as Ivory–is incarcerated on the top-secret Republic prison world of Belsavis. You need to find out everything Ivory knows about Rogun’s operations.
Travel to Belsavis and contact Senator Dodonna via your ship’s holoterminal.",Disable the First Shield
Neimoidian Rescue,"The Rattataki have been slaughtering the Neimoidians in the Republic detention compound in the High Security Section, but you may still be able to save lives.",Rescue the Neimoidians
No Stalling,Defeat Imperial Forces at the bridge leading into The Tomb.,Defeat Imperial Forces at Tomb Bridge
Non-Lethal Negotiations,Incapacitate the Condemned prisoners with the stun grenades.,Incapacitate the Escaped Condemned
Nothing New,Defeat the New Men and their reprogrammed droids in the Detainee Processing Center.,Defeat New Men Forces
Ongree Rioters,"Defeat the escaped Ongree prisoners who are looting the vault, along with their trained veractyls.",Defeat Ongree Forces
Operations Group Four,"One of the missing Operations Groups was last seen in the High Security Section. Rendezvous with them and see what assistance you may be able to offer.
Speak to Captain Vandorn at the Imperial Command Post to continue your work.",Report to Captain Vandorn
Overrun Break In,Defeat any Republic forces you come across in the Minimum Security Section.,Defeat Republic Forces
Overwhelming Force,"Your mission to extract the pilots of Dagger Wing from the Republic prison on Belsavis has been complicated by a full-scale Imperial assault on the facility.
You’ve successfully located the group’s executive officer, Tobin Harlan, but many of the pilots are still in danger–including their commander.",Speak to Kal
Prisoner Pacification,Defeat the prisoners in the Maximum Security Section.,Defeat Prisoners
Rattataki Crimelords,Defeat the Rattataki crime lords in the prison central power plant.,Defeat Rattataki Crime Lords
Rattataki Rumble,Defeat the Rattataki forces in the High Security Section.,Defeat Rattataki Forces
Record Keeping,"As you seek out the records room, defeat any of Melicoste’s forces that get in your way.",Defeat Melicoste’s Forces
Republic Secrets,"An old Sith, Lord Ferrid, has been locked away on Belsavis for over twenty years. Now he’s free and looking for revenge. He’s convinced the Republic is protecting something valuable, but he isn’t sure what. He’s asked you to infiltrate the Republic compound and retrieve whatever it is the Republic is trying to hide.",Break into the Republic Compound
Rift Lurker Clean Up,Clear out the toxic rift lurkers to stop them from damaging any equipment you need.,Defeat the Toxic Rift Lurkers
Rift Lurker Rage,Clear out the enraged rift lurkers to stop them from spilling into Imperial territory.,Defeat Enraged Rift Lurkers
Riot in the Warden’s Station,"You infiltrated the Condemned’s hideout and uncovered plans for a full-scale assault on the warden’s station. The Condemned were planning to use a neural disruptor to render the guards helpless, but your warning allowed Officer Gerro to negate its effects.
Assistant Warden Graal has still requested you hurry back, however; even with the security fields active, the guards won’t be able to hold off the Condemned and the Imperials for long.",Return to Warden Graal’s Office
Riot on Belsavis,You have arrived at a space station orbiting the Republic prison world of Belsavis. Speak to Commander Calum on the Belsavis space station to find out what’s going on.,Speak to Commander Calum
Scavenger Hunt,Clear a path through the vault by defeating the security droids and hostile prisoners inside.,Defeat Hostile Vault Defenses and Prisoners
Secure Break In,Defeat the Republic forces in the Minimum Security Section.,Defeat Republic Forces
Secure the Generators,Defeat the Condemned around the central power generators.,Defeat the Condemned
Some Disassembly Required,Destroy Republic droids in the Special Projects Complex.,Destroy Republic Droids
Speaking Their Language,"Officer Serik reports that the Rattataki have found a way to coordinate their movements in the jungle with military precision. He’s certain they’re not using comms, so they must be using some alternative form of communication. He’s asked you to take a protocol droid, C-5D1, who can decipher the Rattataki’s secret code and find out how they’re communicating.",Escort C-5D1 through the Jungle
Stage 1 – Battle the Horde,Dozens and dozens of Rattataki members of the Blood of Talath swarm through the High Security Section along with their tamed acklays. Defeat them to help bring the area under control.,Defeat Rattataki Forces
Stage 1 – Converting the Unconvertable,The ancient droids found in vault K-66 aren’t all reprogrammable. Destroy those who can’t be converted and remove their reprogramming-resistant processors for later study.,Loot Reprogramming-Resistant Processors
Stage 2 – Battle the Horde,Dozens and dozens of Rattataki members of the Blood of Talath swarm through the High Security Section. Destroy the weaponry they’ve acquired to help bring the area under control.,Updating…
Stage 2 – Converting the Unconvertable,"The ancient droids found in vault K-66 aren’t all reprogrammable, but deactivating the ancient control nodes may help the Empire’s new software spread.",Updating…
Stage 3 – Battle the Horde,Dozens and dozens of Rattataki members of the Blood of Talath swarm through the High Security Section. Defeat those in the Republic detention compound to help bring the area under control.,Updating…
Strange Science,You’ve journeyed to the ancient Rakata prison world of Belsavis in pursuit of the secret to controlling your volatile power. You’ve met a Nikto slicer named Bolan who has revealed the location of a Rakata machine that may help you regain control of your Force powers.,Subdue the First Mechasecurity Droid
Strength of Many,"Upon arriving on Belsavis, the Empire set loose several groups of aliens in the High Security Section to crush and disorient Republic forces in the area. With Republic forces in the High Security Section now at minimum strength, the alien gangs have turned their attention to attacking Imperial forces.",Defeat Trandoshans Near Their Vault
Supply Chain,Retrieve the power cores in Rattataki Block Alpha.,Retrieve Power Cores
Take Down the Guards,Defeat the prison guards in the Minimum Security Section.,Defeat Prison Guards
Taking It Back,Defeat the Imperial assassins in the overrun Republic base in the High Security Section of the prison on Belsavis.,Defeat Imperial Assassins
That Other Junk,"If they can’t be reprogrammed, they must be destroyed. Destroy the ancient droids in vault K-66 in the Minimum Security Section.",Destroy Ancient Droids
The Carbon Gallery,"In a complex beneath the surface, the Republic dispatched a Crisis Response Unit to protect its most troublesome prisoners that have been frozen in carbonite.",Locate the Carbon Gallery
